,Title,Release Year,Genre,IMDb Page Link
945,Starsky and Hutch,(1975–1979),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0072567/
946,xXx: State of the Union,(2005),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt0329774/
947,Repo Men,(2010),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt1053424/
948,Big Eyes,(I) (2014),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt1126590/
949,Romeo Must Die,(2000),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt0165929/
950,Flashpoint,(2008–2012),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1059475/
951,I Am Wrath,(2016),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3212232/
952,Get Smart,(1965–1970),"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt0058805/
953,Secret in Their Eyes,(2015),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1741273/
954,Acts of Violence,(2018),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt6684714/
955,Mannix,(1967–1975),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0061277/
956,Frantic,(1988),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0095174/
957,La chute de l'empire américain,(2018),"
Comedy, Crime            ",http://www.imdb.com/title/tt7231342/
958,The Gunman,(2015),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2515034/
959,Man on a Ledge,(2012),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt1568338/
960,Confessions of a Dangerous Mind,(2002),"
Biography, Comedy, Crime            ",http://www.imdb.com/title/tt0270288/
